date,SPY,QQQ,IWM,TLT,SPMO,QUAL,USMV,VLUE
2016-08-15,219.09,117.7,123.4,138.76,27.2178,68.59,46.64,65.21
2016-08-16,217.96,117.05,122.4,138.39,27.2178,68.17,46.22,64.9818
2016-08-17,218.37,117.26,122.04,139.22,27.2178,68.37,46.33,64.97
2016-08-18,218.86,117.29,122.94,139.44,27.2178,68.42,46.48,65.21
2016-08-19,218.54,117.26,122.94,138.71,27.2178,68.4101,46.32,65.17
2016-08-22,218.53,117.35,123.22,139.88,27.2178,68.37,46.38,65.06
2016-08-23,218.97,117.56,124.08,140.03,27.2178,68.52,46.38,65.38
2016-08-24,217.85,116.8,123.07,139.7,27.2178,68.24,46.15,65.03
2016-08-25,217.7,116.61,123.31,139.17,27.2178,68.24,46.16,64.94
2016-08-26,217.29,116.78,123.06,138.36,27.2178,68.04,45.94,64.85
2016-08-29,218.3608,116.94,123.7,140.21,27.2178,68.28,46.25,65.26
2016-08-30,218.0,116.56,123.93,139.67,27.2178,68.04,45.99,65.28
2016-08-31,217.38,116.44,123.23,139.87,27.2178,67.86,45.97,65.22
2016-09-01,217.39,116.74,123.32,139.77,27.2178,67.81,45.99,65.03
2016-09-02,218.37,117.12,124.51,138.63,27.2178,68.13,46.27,65.4
2016-09-06,219.0308,117.85,124.6292,139.64,27.2178,68.21,46.43,65.53
2016-09-07,219.01,117.92,125.41,139.54,27.2178,68.22,46.4,65.67
2016-09-08,218.51,117.23,125.16,137.79,27.417,67.93,46.14,65.63
2016-09-09,213.28,114.28,121.25,135.52,27.0,66.3925,44.9,64.15
2016-09-12,216.34,116.33,122.94,135.59,27.02,67.27,45.54,65.13
2016-09-13,213.23,115.29,120.58,134.05,26.7,66.49,44.89,64.38
2016-09-14,213.15,115.84,120.6,134.25,26.7,66.49,44.83,64.115
2016-09-15,215.28,117.64,122.04,133.67,26.7,67.14,45.23,64.93
2016-09-16,213.37,117.29,121.86,134.75,26.75,66.84,45.11,64.835
2016-09-19,213.41,116.78,122.67,134.31,26.75,66.92,45.21,64.87
2016-09-20,213.42,117.0,122.15,134.78,26.75,67.0,45.26,64.79
2016-09-21,215.82,118.15,123.92,135.87,26.75,67.71,45.88,65.47
2016-09-22,217.18,119.09,125.7,136.95,26.75,68.07,46.17,65.8
2016-09-23,215.99,118.33,124.81,136.82,26.75,67.64,45.97,65.53
2016-09-26,214.24,117.34,123.23,137.69,26.75,66.89,45.48,64.41
2016-09-27,215.57,118.5,123.73,138.7,26.75,67.27,45.62,64.84
2016-09-28,216.64,118.7,124.68,138.4,27.227,67.47,45.66,65.22
2016-09-29,214.68,117.84,122.86,138.75,27.227,66.88,45.23,64.49
2016-09-30,216.3,118.72,124.21,137.51,27.227,67.49,45.43,65.28
2016-10-03,215.78,118.55,123.82,136.81,27.227,67.28,45.11,65.14
2016-10-04,214.68,118.37,123.21,135.21,27.227,66.85,44.67,64.9889
2016-10-05,215.63,118.79,123.95,134.58,27.227,67.1,44.57,65.558
2016-10-06,215.78,118.73,123.82,133.83,26.76,67.16,44.6,65.535
