rank,ticker,mom_score,ima_z,combined,last_close,date,data_last
1,CCL,-0.0645,4.0801,5.1879,25.73,2026-07-31,2026-08-21
2,META,-0.1466,1.0679,1.4722,549.9,2026-07-31,2026-08-21
3,SNDK,8.5784,0.0,1.0,1596.08,2026-07-31,2026-08-21
4,WDC,2.7077,0.0,0.9942,459.44,2026-07-31,2026-08-21
5,STX,2.5041,0.0,0.9903,850.0,2026-07-31,2026-08-21
6,DELL,2.4276,0.0,0.9883,442.08,2026-07-31,2026-08-21
7,NBIS,2.2993,0.0,0.9864,219.13,2026-07-31,2026-08-21
8,ARM,2.2437,0.0,0.9844,243.32,2026-07-31,2026-08-21
9,GLW,1.9172,0.0,0.9825,149.84,2026-07-31,2026-08-21
10,LITE,1.328,0.0137,0.9814,866.71,2026-07-31,2026-08-21
